id,idade,nomeJogador,nacionalidade,nomeClube
176580,32,L. SUÁREZ,URUGUAY,FC BARCELONA
194765,28,A. GRIEZMANN,FRANCE,FC BARCELONA
212198,24,BRUNO FERNANDES,PORTUGAL,MANCHESTER UNITED
192985,28,K. DE BRUYNE,BELGIUM,MANCHESTER CITY
224334,27,M. ACUÑA,ARGENTINA,SPORTING CP
212462,26,ALEX TELLES,BRAZIL,FC PORTO
187961,30,PAULINHO,BRAZIL,GUANGZHOU EVERGRANDE TAOBAO FC
178518,31,R. NAINGGOLAN,BELGIUM,CAGLIARI
197445,27,D. ALABA,AUSTRIA,FC BAYERN MÜNCHEN
181872,32,A. VIDAL,CHILE,FC BARCELONA
177003,33,L. MODRIĆ,CROATIA,REAL MADRID
158023,32,L. MESSI,ARGENTINA,FC BARCELONA
181291,28,G. WIJNALDUM,NETHERLANDS,LIVERPOOL
185103,33,A. KOLAROV,SERBIA,ROMA
203551,28,A. FLORENZI,ITALY,VALENCIA CF
212622,24,J. KIMMICH,GERMANY,FC BAYERN MÜNCHEN
176676,31,MARCELO,BRAZIL,REAL MADRID
195864,26,P. POGBA,FRANCE,MANCHESTER UNITED
189332,30,JORDI ALBA,SPAIN,FC BARCELONA
173731,29,G. BALE,WALES,REAL MADRID
155862,33,SERGIO RAMOS,SPAIN,REAL MADRID
20801,34,CRISTIANO RONALDO,PORTUGAL,JUVENTUS
209658,24,L. GORETZKA,GERMANY,FC BAYERN MÜNCHEN
201942,27,ROBERTO FIRMINO,BRAZIL,LIVERPOOL
200145,27,CASEMIRO,BRAZIL,REAL MADRID
193283,27,T. DELANEY,DENMARK,BORUSSIA DORTMUND
200458,25,L. DIGNE,FRANCE,EVERTON
208574,26,F. KOSTIĆ,SERBIA,EINTRACHT FRANKFURT
172522,30,D. WASS,DENMARK,VALENCIA CF
177413,30,A. WITSEL,BELGIUM,BORUSSIA DORTMUND
209331,27,M. SALAH,EGYPT,LIVERPOOL
1040,38,12 ROBERTO CARLOS,BRAZIL,FC ANZHI MAKHACHKALA
193747,27,KOKE,SPAIN,ATLÉTICO MADRID
146530,35,19 DANI ALVES,BRAZIL,PARIS SAINT-GERMAIN
183711,29,J. HENDERSON,ENGLAND,LIVERPOOL
208722,27,S. MANÉ,SENEGAL,LIVERPOOL
215071,31,M. CASCO,ARGENTINA,RIVER PLATE
135507,34,FERNANDINHO,BRAZIL,MANCHESTER CITY
223848,24,S. MILINKOVIĆ-SAVIĆ,SERBIA,LAZIO
189509,28,THIAGO,SPAIN,FC BAYERN MÜNCHEN
219683,24,C. TOLISSO,FRANCE,FC BAYERN MÜNCHEN
208421,24,SAÚL,SPAIN,ATLÉTICO MADRID
208333,25,E. CAN,GERMANY,BORUSSIA DORTMUND
