id,idade,nomeJogador,nacionalidade,nomeClube
176580,33,L. SUÁREZ,URUGUAY,ATLÉTICO MADRID
192985,29,K. DE BRUYNE,BELGIUM,MANCHESTER CITY
212198,25,BRUNO FERNANDES,PORTUGAL,MANCHESTER UNITED
194765,29,A. GRIEZMANN,FRANCE,FC BARCELONA
224334,28,M. ACUÑA,ARGENTINA,SEVILLA FC
212462,27,ALEX TELLES,BRAZIL,FC PORTO
187961,31,PAULINHO,BRAZIL,GUANGZHOU EVERGRANDE TAOBAO FC
178518,32,R. NAINGGOLAN,BELGIUM,INTER
212622,25,J. KIMMICH,GERMANY,FC BAYERN MÜNCHEN
181291,29,G. WIJNALDUM,NETHERLANDS,LIVERPOOL
208333,26,E. CAN,GERMANY,BORUSSIA DORTMUND
155862,34,SERGIO RAMOS,SPAIN,REAL MADRID
209658,25,L. GORETZKA,GERMANY,FC BAYERN MÜNCHEN
177003,34,L. MODRIĆ,CROATIA,REAL MADRID
197445,28,D. ALABA,AUSTRIA,FC BAYERN MÜNCHEN
181872,33,A. VIDAL,CHILE,INTER
185103,34,A. KOLAROV,SERBIA,INTER
195864,27,P. POGBA,FRANCE,MANCHESTER UNITED
158023,33,L. MESSI,ARGENTINA,FC BARCELONA
203551,29,A. FLORENZI,ITALY,PARIS SAINT-GERMAIN
223848,25,S. MILINKOVIĆ-SAVIĆ,SERBIA,LAZIO
189332,31,JORDI ALBA,SPAIN,FC BARCELONA
20801,35,CRISTIANO RONALDO,PORTUGAL,JUVENTUS
200145,28,CASEMIRO,BRAZIL,REAL MADRID
183711,30,J. HENDERSON,ENGLAND,LIVERPOOL
231281,21,T. ALEXANDER-ARNOLD,ENGLAND,LIVERPOOL
205632,25,L. OCAMPOS,ARGENTINA,SEVILLA FC
208421,25,SAÚL,SPAIN,ATLÉTICO MADRID
200458,26,L. DIGNE,FRANCE,EVERTON
173731,30,G. BALE,WALES,TOTTENHAM HOTSPUR
208574,27,F. KOSTIĆ,SERBIA,EINTRACHT FRANKFURT
209331,28,M. SALAH,EGYPT,LIVERPOOL
204923,26,M. SABITZER,AUSTRIA,RB LEIPZIG
176676,32,MARCELO,BRAZIL,REAL MADRID
201942,28,ROBERTO FIRMINO,BRAZIL,LIVERPOOL
1040,38,12 ROBERTO CARLOS,BRAZIL,FC ANZHI MAKHACHKALA
