id,idade,nomeJogador,nacionalidade,nomeClube
176580,30,L. SUÁREZ,URUGUAY,FC BARCELONA
178518,29,R. NAINGGOLAN,BELGIUM,ROMA
203551,26,A. FLORENZI,ITALY,ROMA
197445,25,D. ALABA,AUSTRIA,FC BAYERN MÜNCHEN
195864,24,P. POGBA,FRANCE,MANCHESTER UNITED
173731,27,G. BALE,WALES,REAL MADRID
181872,30,A. VIDAL,CHILE,FC BAYERN MÜNCHEN
192985,26,K. DE BRUYNE,BELGIUM,MANCHESTER CITY
189332,28,JORDI ALBA,SPAIN,FC BARCELONA
185103,31,A. KOLAROV,SERBIA,ROMA
177003,31,L. MODRIĆ,CROATIA,REAL MADRID
20801,32,CRISTIANO RONALDO,PORTUGAL,REAL MADRID
187961,28,PAULINHO,BRAZIL,FC BARCELONA
212462,24,ALEX TELLES,BRAZIL,FC PORTO
209658,22,L. GORETZKA,GERMANY,FC SCHALKE 04
176676,29,MARCELO,BRAZIL,REAL MADRID
191740,27,ANDER HERRERA,SPAIN,MANCHESTER UNITED
212198,22,BRUNO FERNANDES,PORTUGAL,SPORTING CP
191043,26,ALEX SANDRO,BRAZIL,JUVENTUS
162240,29,M. DEMBÉLÉ,BELGIUM,TOTTENHAM HOTSPUR
146530,34,DANI ALVES,BRAZIL,PARIS SAINT-GERMAIN
189125,27,G. BONAVENTURA,ITALY,MILAN
219683,22,C. TOLISSO,FRANCE,FC BAYERN MÜNCHEN
135507,32,FERNANDINHO,BRAZIL,MANCHESTER CITY
170890,30,B. MATUIDI,FRANCE,JUVENTUS
184941,28,A. SÁNCHEZ,CHILE,MANCHESTER UNITED
173474,29,Z. JUNUZOVIĆ,AUSTRIA,SV WERDER BREMEN
162347,30,JOÃO MOUTINHO,PORTUGAL,AS MONACO
167905,31,A. VALENCIA,ECUADOR,MANCHESTER UNITED
180206,27,M. PJANIĆ,BOSNIA HERZEGOVINA,JUVENTUS
182521,27,T. KROOS,GERMANY,REAL MADRID
189509,26,THIAGO,SPAIN,FC BAYERN MÜNCHEN
173909,30,K. BOATENG,GHANA,EINTRACHT FRANKFURT
163631,32,L. BAINES,ENGLAND,EVERTON
171877,29,M. HAMŠÍK,SLOVAKIA,NAPOLI
193352,24,R. RODRÍGUEZ,SWITZERLAND,MILAN
210896,22,M. SANSON,FRANCE,OLYMPIQUE DE MARSEILLE
197965,27,PIZZI,PORTUGAL,SL BENFICA
188377,27,K. WALKER,ENGLAND,MANCHESTER CITY
216451,25,J. SERI,IVORY COAST,OGC NICE
209297,24,FRED,BRAZIL,SHAKHTAR DONETSK
173210,31,C. MARCHISIO,ITALY,JUVENTUS
212622,22,J. KIMMICH,GERMANY,FC BAYERN MÜNCHEN
213565,21,T. LEMAR,FRANCE,AS MONACO
186832,28,K. ASAMOAH,GHANA,JUVENTUS
171875,28,C. ERKIN,TURKEY,BEŞIKTAŞ JK
209889,23,R. GUERREIRO,PORTUGAL,BORUSSIA DORTMUND
183711,27,J. HENDERSON,ENGLAND,LIVERPOOL
224334,25,M. ACUÑA,ARGENTINA,SPORTING CP
