id,idade,nomeJogador,nacionalidade,nomeClube
212198,26,BRUNO FERNANDES,PORTUGAL,MANCHESTER UNITED
209658,26,L. GORETZKA,GERMANY,FC BAYERN MÜNCHEN
176580,34,L. SUÁREZ,URUGUAY,ATLÉTICO DE MADRID
192985,30,K. DE BRUYNE,BELGIUM,MANCHESTER CITY
224334,29,M. ACUÑA,ARGENTINA,SEVILLA FC
212622,26,J. KIMMICH,GERMANY,FC BAYERN MÜNCHEN
187961,32,PAULINHO,BRAZIL,AL AHLI
181291,30,G. WIJNALDUM,NETHERLANDS,PARIS SAINT-GERMAIN
208333,27,E. CAN,GERMANY,BORUSSIA DORTMUND
194765,30,A. GRIEZMANN,FRANCE,ATLÉTICO DE MADRID
177003,35,L. MODRIĆ,CROATIA,REAL MADRID CF
226161,26,MARCOS LLORENTE,SPAIN,ATLÉTICO DE MADRID
155862,35,SERGIO RAMOS,SPAIN,PARIS SAINT-GERMAIN
197445,29,D. ALABA,AUSTRIA,REAL MADRID CF
225193,25,MERINO,SPAIN,REAL SOCIEDAD
224232,24,N. BARELLA,ITALY,INTER
212462,28,ALEX TELLES,BRAZIL,MANCHESTER UNITED
228702,24,F. DE JONG,NETHERLANDS,FC BARCELONA
204923,27,M. SABITZER,AUSTRIA,FC BAYERN MÜNCHEN
193082,33,J. CUADRADO,COLOMBIA,JUVENTUS
193747,29,KOKE,SPAIN,ATLÉTICO DE MADRID
210514,27,JOÃO CANCELO,PORTUGAL,MANCHESTER CITY
200458,27,L. DIGNE,FRANCE,EVERTON
208574,28,F. KOSTIĆ,SERBIA,EINTRACHT FRANKFURT
231281,22,T. ALEXANDER-ARNOLD,ENGLAND,LIVERPOOL
223848,26,S. MILINKOVIĆ-SAVIĆ,SERBIA,LAZIO
181872,34,A. VIDAL,CHILE,INTER
195864,28,P. POGBA,FRANCE,MANCHESTER UNITED
200145,29,CASEMIRO,BRAZIL,REAL MADRID CF
158023,34,L. MESSI,ARGENTINA,PARIS SAINT-GERMAIN
230767,23,RENATO SANCHES,PORTUGAL,LOSC LILLE
205632,26,L. OCAMPOS,ARGENTINA,SEVILLA FC
189332,32,JORDI ALBA,SPAIN,FC BARCELONA
188545,32,R. LEWANDOWSKI,POLAND,FC BAYERN MÜNCHEN
209331,29,M. SALAH,EGYPT,LIVERPOOL
220651,24,ANGELIÑO,SPAIN,RB LEIPZIG
20801,36,CRISTIANO RONALDO,PORTUGAL,MANCHESTER UNITED
1040,38,12 ROBERTO CARLOS,BRAZIL,FC ANZHI MAKHACHKALA
190286,30,CANALES,SPAIN,REAL BETIS BALOMPIÉ
202126,27,H. KANE,ENGLAND,TOTTENHAM HOTSPUR
146530,35,19 DANI ALVES,BRAZIL,PARIS SAINT-GERMAIN
216352,28,M. BROZOVIĆ,CROATIA,INTER
199556,28,M. VERRATTI,ITALY,PARIS SAINT-GERMAIN
208421,26,SAÚL,SPAIN,CHELSEA
189509,30,THIAGO,SPAIN,LIVERPOOL
201519,28,J. VERETOUT,FRANCE,ROMA
183711,31,J. HENDERSON,ENGLAND,LIVERPOOL
186942,30,I. GÜNDOĞAN,GERMANY,MANCHESTER CITY
178518,33,R. NAINGGOLAN,BELGIUM,ROYAL ANTWERP FC
193283,29,T. DELANEY,DENMARK,SEVILLA FC
233927,23,LUCAS PAQUETÁ,BRAZIL,OLYMPIQUE LYONNAIS
230938,24,F. KESSIÉ,CÔTE D'IVOIRE,AC MILAN
231969,28,R. MALINOVSKYI,UKRAINE,ATALANTA
188377,31,K. WALKER,ENGLAND,MANCHESTER CITY
223697,26,R. GOSENS,GERMANY,ATALANTA
208722,29,S. MANÉ,SENEGAL,LIVERPOOL
228251,25,L. PELLEGRINI,ITALY,ROMA
172522,32,D. WASS,DENMARK,VALENCIA CF
235212,22,A. HAKIMI,MOROCCO,PARIS SAINT-GERMAIN
216393,24,Y. TIELEMANS,BELGIUM,LEICESTER CITY
210243,27,RICARDO PEREIRA,PORTUGAL,LEICESTER CITY
232656,23,T. HERNÁNDEZ,FRANCE,AC MILAN
210035,25,GRIMALDO,SPAIN,SL BENFICA
169195,32,21 RENATO AUGUSTO,BRAZIL,BEIJING GUOAN FC
190871,29,NEYMAR JR,BRAZIL,PARIS SAINT-GERMAIN
186345,30,K. TRIPPIER,ENGLAND,ATLÉTICO DE MADRID
240699,24,N. DE LA CRUZ,URUGUAY,RIVER PLATE
3647,34,12 M. BALLACK,GERMANY,BAYER 04 LEVERKUSEN
201942,29,ROBERTO FIRMINO,BRAZIL,LIVERPOOL
173210,31,19 C. MARCHISIO,ITALY,JUVENTUS
212616,27,R. DE PAUL,ARGENTINA,ATLÉTICO DE MADRID
215914,30,N. KANTÉ,FRANCE,CHELSEA
203551,30,A. FLORENZI,ITALY,AC MILAN
183512,31,YURI BERCHICHE,SPAIN,ATHLETIC CLUB DE BILBAO
173731,31,G. BALE,WALES,REAL MADRID CF
205070,29,PORTU,SPAIN,REAL SOCIEDAD
183898,33,A. DI MARÍA,ARGENTINA,PARIS SAINT-GERMAIN
215998,30,21 I. FERNÁNDEZ,ARGENTINA,RIVER PLATE
146536,35,JESÚS NAVAS,SPAIN,SEVILLA FC
239053,22,F. VALVERDE,URUGUAY,REAL MADRID CF
209889,27,R. GUERREIRO,PORTUGAL,BORUSSIA DORTMUND
207439,27,L. PAREDES,ARGENTINA,PARIS SAINT-GERMAIN
231747,22,K. MBAPPÉ,FRANCE,PARIS SAINT-GERMAIN
226226,25,G. LO CELSO,ARGENTINA,TOTTENHAM HOTSPUR
139997,36,19 D. SRNA,CROATIA,CAGLIARI
185103,35,A. KOLAROV,SERBIA,INTER
209297,28,FRED,BRAZIL,MANCHESTER UNITED
234153,24,CARLOS SOLER,SPAIN,VALENCIA CF
187457,33,19 C. NOBOA,ECUADOR,
224293,24,RÚBEN NEVES,PORTUGAL,WOLVERHAMPTON WANDERERS
212523,27,ANDERSON TALISCA,BRAZIL,AL NASSR
193165,28,J. CORONA,MEXICO,FC PORTO
189513,32,PAREJO,SPAIN,VILLARREAL CF
219683,26,C. TOLISSO,FRANCE,FC BAYERN MÜNCHEN
177413,32,A. WITSEL,BELGIUM,BORUSSIA DORTMUND
171579,34,RAÚL GARCÍA,SPAIN,ATHLETIC CLUB DE BILBAO
209499,27,FABINHO,BRAZIL,LIVERPOOL
216267,27,A. ROBERTSON,SCOTLAND,LIVERPOOL
